诗人,作品,问题,答案
岑参,白雪歌送武判官归京,诗中开篇落笔写边塞风狂雪早，极写西北边塞环境恶劣的诗句是：__________,北风卷地白草折，胡天八月即飞雪
岑参,白雪歌送武判官归京,诗中用互文手法，通过将士的日常活动侧面凸显边塞天气极端严寒的诗句是：__________,将军角弓不得控，都护铁衣冷难着
岑参,白雪歌送武判官归京,诗中描绘沙漠冰封、愁云满天的壮阔景象，为下文送别场景做铺垫的诗句是：__________,瀚海阑干百丈冰，愁云惨淡万里凝
岑参,白雪歌送武判官归京,诗中描写中军帐内设宴送别友人，罗列异域乐器助兴的诗句是：__________,中军置酒饮归客，胡琴琵琶与羌笛
岑参,白雪歌送武判官归京,诗中以红旗冻结无法翻卷的细节，从侧面烘托边塞奇寒的诗句是：__________,纷纷暮雪下辕门，风掣红旗冻不翻
岑参,白雪歌送武判官归京,诗中交代送别地点与场景，写友人离去时大雪覆盖前路的诗句是：__________,轮台东门送君去，去时雪满天山路
岑参,白雪歌送武判官归京,诗中以留白手法，写目送友人远去后仍伫立凝望，抒发依依惜别之情的诗句是：__________,山回路转不见君，雪上空留马行处
岑参,白雪歌送武判官归京,《白雪歌送武判官归京》的作者和所属朝代是什么？,作者是唐代诗人岑参
岑参,白雪歌送武判官归京,这首诗是在什么情境下创作的？,岑参第二次出塞任职时，在轮台送别即将归京的武判官所作
岑参,白雪歌送武判官归京,从题材上看，这首诗属于哪类诗歌？,属于边塞诗，也是咏雪送人的送别诗
岑参,白雪歌送武判官归京,“忽如一夜春风来，千树万树梨花开” 核心用了什么修辞手法？,用了比喻的修辞手法，以春花喻冬雪
岑参,白雪歌送武判官归京,“将军角弓不得控，都护铁衣冷难着” 突出了边塞环境的什么特点？,突出了边塞天气极端严寒的特点
岑参,白雪歌送武判官归京,诗里 “中军置酒饮归客” 中的 “归客” 指的是谁？,指即将返回京城的武判官
岑参,白雪歌送武判官归京,“山回路转不见君，雪上空留马行处”抒发了诗人怎样的核心情感？,抒发了诗人送别友人的不舍与依依惜别之情
岑参,白雪歌送武判官归京,杜甫评价岑参诗作 “好奇”，这首诗的“奇”核心体现在哪里？,核心体现在以奇绝的想象写边塞雪景，视角新颖，意境壮阔
范仲淹,渔家傲·秋思,《渔家傲?秋思》中，开篇点明地域与季节，总领全词、突出边塞秋景与众不同的句子是：__________,塞下秋来风景异
范仲淹,渔家傲·秋思,词中以大雁南飞毫无留恋，侧面烘托边塞环境苦寒、秋景萧瑟的句子是：__________,衡阳雁去无留意
范仲淹,渔家傲·秋思,词中从听觉角度落笔，写边塞特有的声响与号角交织，渲染肃杀紧张氛围的句子是：__________,四面边声连角起
范仲淹,渔家傲·秋思,词中从视觉角度勾勒边塞壮阔又萧瑟的黄昏图景，凸显战事紧张、戒备森严的句子是：__________,千嶂里，长烟落日孤城闭
范仲淹,渔家傲·秋思,词中正面抒写边关将士思乡情切，却因功业未成无法归家的矛盾心理的千古名句是：__________,浊酒一杯家万里，燕然未勒归无计
范仲淹,渔家傲·秋思,词中以悠悠羌笛、遍地寒霜渲染凄清夜景，烘托将士满怀愁绪的句子是：__________,羌管悠悠霜满地
范仲淹,渔家傲·秋思,词中直抒胸臆，写将士彻夜难眠，抒发壮志难酬的悲慨与思乡之苦的句子是：__________,人不寐，将军白发征夫泪
范仲淹,渔家傲·秋思,《渔家傲?秋思》的作者和所属朝代是什么？,作者是北宋文学家范仲淹
范仲淹,渔家傲·秋思,这首词是在什么背景下创作的？,北宋与西夏战争对峙时期，范仲淹驻守西北边疆承担防卫重任时所作
范仲淹,渔家傲·秋思,这首词的上片和下片分别写了什么核心内容？,上片描摹了边塞寥廓荒僻、萧瑟悲凉的秋景，下片抒发了边关将士壮志难酬和思乡忧国的情怀
范仲淹,渔家傲·秋思,“浊酒一杯家万里，燕然未勒归无计” 写出了将士们怎样的心理？,写出了将士们思念万里家乡，却因战功未立、边患未平无法归家的矛盾心理
范仲淹,渔家傲·秋思,“人不寐，将军白发征夫泪” 抒发了怎样的核心情感？,抒发了边关将士壮志难酬的悲慨，以及深切的思乡忧国之情
范仲淹,渔家傲·秋思,从题材来看，这首词属于哪类作品？,属于边塞词，也是反映边关军旅生活的豪放词作
范仲淹,渔家傲·秋思,“长烟落日孤城闭” 一句，除了写景还暗示了什么？,暗示了边塞战事紧张、防守戒备森严的严峻形势
范仲淹,渔家傲·秋思,词的开篇 “塞下秋来风景异” 中的 “异” 字有什么作用？,总领全词上片的景物描写，突出边塞秋景与内地的不同，奠定全词苍凉悲壮的基调
李贺,雁门太守行,《雁门太守行》中，运用比喻、夸张手法渲染敌军兵临城下的紧张危急气氛，同时展现守军威武雄壮姿态的千古名句是：__________,黑云压城城欲摧，甲光向日金鳞开
李贺,雁门太守行,诗中从听觉和视觉两个维度，描绘战场悲壮惨烈、战斗残酷激烈的句子是：__________,角声满天秋色里，塞上燕脂凝夜紫
李贺,雁门太守行,诗中写援军星夜奔赴战场，以夜寒霜重、战鼓难鸣烘托战斗艰苦的句子是：__________,半卷红旗临易水，霜重鼓寒声不起
李贺,雁门太守行,诗中运用典故直抒胸臆，抒发将士们誓死报国、忠君爱国壮志豪情的句子是：__________,报君黄金台上意，提携玉龙为君死
李贺,雁门太守行,诗中极写敌军来势汹汹、城池危在旦夕，成为后世形容危急局势经典名句的句子是：__________,黑云压城城欲摧
李贺,雁门太守行,诗中通过阳光照耀铠甲的细节，展现守军严阵以待、士气高昂的句子是：__________,甲光向日金鳞开
李贺,雁门太守行,诗中以号角声响彻天地，从听觉角度写战争规模宏大、战斗激烈的句子是：__________,角声满天秋色里
李贺,雁门太守行,诗中以战场血迹凝结夜色，从视觉角度写战斗惨烈、伤亡惨重的句子是：__________,塞上燕脂凝夜紫
李贺,雁门太守行,诗中借用 “易水” 典故，暗示将士们义无反顾、视死如归英雄气概的句子是：__________,半卷红旗临易水
李贺,雁门太守行,诗中描写夜寒霜重，连战鼓也擂不响，侧面烘托战场环境恶劣、战斗艰难的句子是：__________,霜重鼓寒声不起
李贺,雁门太守行,诗中借用 “黄金台” 典故，点明将士们奋勇杀敌核心动因的句子是：__________,报君黄金台上意
李贺,雁门太守行,诗中以 “玉龙” 代指宝剑，写将士们甘愿持剑为国血战捐躯的句子是：__________,提携玉龙为君死
李贺,雁门太守行,《雁门太守行》的作者和所属朝代是什么？作者有哪些公认的别称？,作者是唐代诗人李贺，他被后世称为 “诗鬼”，是 “长吉体” 诗歌的开创者
李贺,雁门太守行,从题材来看，《雁门太守行》属于什么类型的诗歌？,这是李贺运用乐府古题创作的边塞诗，也是一首描写战争场面的军旅诗
李贺,雁门太守行,这首诗的创作背景是什么？,关于此诗创作背景有两种权威说法：一种是唐宪宗元和九年（公元 814 年），李贺为鼓舞征讨雁门郡之乱的唐军士气即兴所作；另一种据唐代史料记载，此诗是李贺元和二年（公元 807 年）献给韩愈的诗卷开篇之作
李贺,雁门太守行,“黑云压城城欲摧” 一句中，“压” 字有什么妙处？,“压” 字生动形象地写出了敌军人马众多、来势汹汹的态势，渲染了兵临城下、城池危在旦夕的紧张危急氛围，极具画面感和冲击力
李贺,雁门太守行,首联 “黑云压城城欲摧，甲光向日金鳞开” 运用了哪些修辞手法？有什么表达效果？,运用了比喻、夸张、对比的修辞手法。把敌军比作黑云，用 “城欲摧” 夸张渲染危急形势，同时将敌军的黑云压城与守军铠甲的金光闪闪形成鲜明对比，既写出了敌军来势汹汹的紧张局势，又突出了守军严阵以待、威武雄壮的高昂士气
李贺,雁门太守行,颔联 “角声满天秋色里，塞上燕脂凝夜紫” 是从哪些角度描写战争的？有什么作用？,从听觉和视觉两个角度描写战争：听觉上写号角声响彻整个秋空，表现战争规模宏大、战斗激烈；视觉上写战场上的血迹在夜色中凝结成暗紫色，表现战斗的惨烈与伤亡的惨重。两句共同渲染了战场悲壮、肃杀的氛围，凸显了战争的残酷
李贺,雁门太守行,颈联 “半卷红旗临易水” 中，“半卷红旗” 有什么含义？,“半卷红旗” 是军队急行军的真实写照，既写出了援军为赶赴战场、趁夜奔袭而偃旗息鼓的军事状态，体现了军队行动的迅速与出其不意，也侧面烘托了战事的紧张与紧急
李贺,雁门太守行,尾联 “报君黄金台上意，提携玉龙为君死” 运用了什么表现手法？抒发了怎样的情感？,运用了用典的表现手法，借用 “黄金台” 的典故（燕昭王筑黄金台招揽天下贤士），直抒胸臆，抒发了边关将士们为报答国君的赏识与厚待，甘愿手持宝剑、为国血战到底、视死如归的忠君爱国壮志豪情
李贺,雁门太守行,诗中的 “黄金台” 和 “玉龙” 分别指什么？,“黄金台” 相传是战国时燕昭王为招揽天下贤士所筑，这里代指国君的赏识、厚待与知遇之恩；“玉龙” 是宝剑的代称
李贺,雁门太守行,这首诗是如何描绘悲壮惨烈的战斗场面的？,这首诗以时间为序，先写战前敌军压境、守军严阵以待的紧张局势，再写战斗中号角震天、血染战场的惨烈场面，接着写援军奔袭、夜战艰难的过程，最后以将士誓死报国的誓言收束；同时运用浓艳斑驳的色彩、视听结合的描写、精准的细节刻画和典故运用，全方位呈现了悲壮惨烈的战斗场面
李贺,雁门太守行,“塞上燕脂凝夜紫” 一句描写了怎样的景象？有什么作用？,这句诗描写了边塞战场上，将士们的鲜血在暮色中凝结成暗紫色的景象。作用是从视觉角度侧面烘托了战斗的激烈与残酷，渲染了战场悲壮、肃杀的氛围
李贺,雁门太守行,“霜重鼓寒声不起” 一句写出了怎样的环境特点？,写出了边塞战场夜寒霜重、天气极端严寒的环境特点，同时侧面烘托了战斗的艰苦与艰难
李贺,雁门太守行,这首诗抒发了怎样的核心思想情感？,这首诗通过描绘边塞战争的全过程，歌颂了边关将士们临危不惧、奋勇杀敌、视死如归的英雄气概，抒发了将士们忠君爱国、誓死报国的壮志豪情
李贺,雁门太守行,这首诗多处运用了色彩描写，有什么表达效果？,诗中用 “黑”“金”“燕脂（红）”“紫” 等浓艳斑驳的色彩，勾勒出战争的不同场景，既让画面感极强、极具视觉冲击力，又精准渲染了战争不同阶段的氛围，凸显了战斗的悲壮与惨烈，契合李贺奇绝诡丽的创作风格
李贺,雁门太守行,这首诗是按照什么顺序来描写战争过程的？,这首诗按照战争发展的时间顺序展开：先写战前敌军压境的危急局势，再写白天激烈的战斗场面，接着写黄昏时分援军赶赴战场、夜间苦战的过程，最后以将士们誓死报国的誓言收束全诗
李贺,雁门太守行,这首诗的首联和颔联分别写了什么核心内容？,首联以景叙事，渲染了敌军兵临城下的紧张气氛和危急形势，同时借日光下的铠甲展现了守军的威武雄壮；颔联从听觉、视觉两个方面，描绘了战场的悲壮氛围和战斗的残酷激烈
李贺,雁门太守行,这首诗的颈联和尾联分别写了什么核心内容？,颈联描写了援军星夜奔赴战场、夜寒霜重中艰难作战的场景，烘托了战斗的艰苦；尾联运用典故直抒胸臆，抒发了将士们誓死报国的忠君爱国情怀
高适,燕歌行·并序,《燕歌行?并序》的序文中，点明诗人创作此诗的核心缘由，即因感慨边疆征戍之事而应和友人诗作的句子是：__________,适感征戍之事，因而和焉
高适,燕歌行·并序,诗中开篇点明战事爆发的地域与起因，写东北边境燃起战火、将军奉命离家征讨贼寇的句子是：__________,汉家烟尘在东北，汉将辞家破残贼
高适,燕歌行·并序,诗中写男儿本就以驰骋沙场、纵横杀敌为荣，又得天子格外厚待恩宠，为后文将领骄纵轻敌埋下伏笔的句子是：__________,男儿本自重横行，天子非常赐颜色
高适,燕歌行·并序,诗中描写唐军出征时金鼓震天、旌旗连绵，浩浩荡荡奔赴边关的壮阔行军阵容的句子是：__________,摐金伐鼓下榆关，旌旆逶迤碣石间
高适,燕歌行·并序,诗中写边关军情十万火急，战报飞速穿越沙漠，敌军战火已逼近前线，渲染大战一触即发紧张氛围的句子是：__________,校尉羽书飞瀚海，单于猎火照狼山
高适,燕歌行·并序,诗中描写边塞山河萧条荒芜、环境恶劣，敌军骑兵来势凶猛、攻势如狂风暴雨袭来的句子是：__________,山川萧条极边土，胡骑凭陵杂风雨
高适,燕歌行·并序,诗中以强烈对比揭露军中苦乐不均、将领荒淫失职，成为千古传诵的批判名句是：__________,战士军前半死生，美人帐下犹歌舞
高适,燕歌行·并序,诗中描写边塞深秋萧瑟景象，以落日孤城、残兵寥寥烘托战场日暮时分战况危急、伤亡惨重的句子是：__________,大漠穷秋塞草腓，孤城落日斗兵稀
高适,燕歌行·并序,诗中点明唐军战事失利的核心原因，写将领身受皇恩却骄纵轻敌，最终导致将士力竭、边关未能解围的句子是：__________,身当恩遇常轻敌，力尽关山未解围
高适,燕歌行·并序,诗中写戍边将士身披铠甲长期驻守边疆、辛勤劳苦，家中妻子自离别后终日啼哭不止的句子是：__________,铁衣远戍辛勤久，玉箸应啼别离后
高适,燕歌行·并序,诗中以工整对句，写思妇与征人两地相隔、肝肠寸断却只能空自相望的深切相思的句子是：__________,少妇城南欲断肠，征人蓟北空回首
高适,燕歌行·并序,诗中描写边塞辽远难越、绝域苍茫空旷，烘托征人归乡无望的悲凉心境的句子是：__________,边庭飘飖那可度，绝域苍茫无所有
高适,燕歌行·并序,诗中写战场终日杀气腾腾、战云密布，整夜都传来巡夜刁斗的寒冽声响，全方位渲染军营紧张肃杀氛围的句子是：__________,杀气三时作阵云，寒声一夜传刁斗
高适,燕歌行·并序,诗中写将士们短兵相接、浴血奋战，为国坚守气节、舍生取义却从不计较个人功勋的句子是：__________,相看白刃血纷纷，死节从来岂顾勋
高适,燕歌行·并序,诗的结尾直抒胸臆，点明全诗主旨，感叹沙场征战之苦，怀念爱护士卒的古代名将的千古名句是：__________,君不见沙场征战苦，至今犹忆李将军
高适,燕歌行·并序,《燕歌行?并序》的作者和所属朝代是什么？作者在诗坛有哪些公认的地位与称号？,作者是唐代诗人高适，他是盛唐著名边塞诗人，与岑参并称 “高岑”，与岑参、王昌龄、王之涣合称 “边塞四诗人”，世称高常侍。
高适,燕歌行·并序,这首诗的创作背景是什么？,这首诗作于唐玄宗开元二十六年（738 年），是高适有感于友人随主帅出塞归来所作的《燕歌行》，结合自己早年对幽蓟边塞军中生活的亲身了解，为感慨边疆征戍之事创作的唱和之作；此诗以乐府旧题写时事，并非单指某一场具体战事，而是概括了唐代边塞征战的普遍现实。
高适,燕歌行·并序,从题材来看，《燕歌行?并序》属于什么类型的诗歌？,这是一首边塞诗，也是高适运用乐府旧题创作的、反映边塞征战现实的古体诗，是高适边塞诗的代表作，也被公认为唐代边塞诗中的千古杰作。
高适,燕歌行·并序,诗前的并序有什么作用？,诗前的并序点明了诗歌的创作时间、创作缘由，交代了此诗是诗人为和友人诗作、感慨边塞征戍之事而作，为全诗奠定了感慨现实、针砭时弊的创作基调，也让诗歌的叙事与抒情有了明确的现实依托。
高适,燕歌行·并序,“战士军前半死生，美人帐下犹歌舞” 两句运用了什么表现手法？有什么深刻含义？,运用了鲜明的对比手法，将前线战士在战场上浴血奋战、生死未卜，与后方将领在营帐中寻欢作乐、观赏美人歌舞的场景进行强烈对照，深刻揭露了边塞军中主将骄奢淫逸、不恤士卒的失职行为，揭示了唐军战事失利的根本原因，极具批判力度。
高适,燕歌行·并序,这首诗是按照什么结构展开叙事与抒情的？,全诗以战事发展为序，大体分为四段：第一段八句写出师，交代战事缘起、出征阵容，为后文将领轻敌、战事失利埋下伏笔；第二段八句写战斗经过，描写敌军来势凶猛、唐军伤亡惨重、兵少力竭未能解围的战况；第三段八句写征人与思妇两地相望、重会无期的相思之苦；第四段四句写将士们以身殉国的崇高气节，最终以诗人的感慨收束，点明全诗主旨。
高适,燕歌行·并序,诗的结尾 “君不见沙场征战苦，至今犹忆李将军” 两句有什么深刻内涵？,这两句是全诗的主旨句，诗人直抒胸臆，一方面感叹边关沙场征战的艰苦，对浴血奋战的士卒寄予了深切的同情；另一方面借怀念汉代爱护士卒、能征善战的飞将军李广，与诗中骄逸轻敌、不恤士卒的当朝将领形成鲜明对比，表达了对昏庸失职将领的强烈批判，也寄寓了对贤明边关将领的深切期盼。
高适,燕歌行·并序,“校尉羽书飞瀚海，单于猎火照狼山” 两句中，“飞” 字有什么妙处？,“飞” 字生动传神地写出了边关军情文书传递的极速，极写前线战事的十万火急、紧张危急，渲染了大战一触即发的肃杀氛围，让读者瞬间感受到边塞战事的紧迫与凶险。
高适,燕歌行·并序,“相看白刃血纷纷，死节从来岂顾勋” 两句塑造了边关将士怎样的形象？,这两句塑造了边关将士们面对短兵相接、浴血奋战的惨烈战场，依然视死如归、舍生取义的英雄形象；他们为国捐躯、坚守气节，从来不是为了个人的功勋名利，凸显了将士们崇高的爱国情怀与无私的牺牲精神。
高适,燕歌行·并序,“大漠穷秋塞草腓，孤城落日斗兵稀” 两句是如何渲染战场氛围的？,这两句从视觉角度写景，选取大漠、穷秋、塞草、孤城、落日、残兵等典型意象，勾勒出边塞深秋萧瑟荒凉的景象；以落日孤城的黯淡背景、所剩无几的士兵，侧面烘托了战斗的惨烈、唐军的伤亡惨重与战况的危急，渲染了悲凉、肃杀的战场氛围。
高适,燕歌行·并序,“铁衣远戍辛勤久，玉箸应啼别离后” 两句中，“玉箸” 指的是什么？这两句抒发了怎样的情感？,“玉箸” 在这里比喻思妇的眼泪，代指家中思念丈夫的妻子。这两句既写出了边关将士长期远戍边疆的艰辛劳苦，也写出了家中妻子与丈夫离别后终日啼哭、思念不已的愁苦，抒发了对征人与思妇两地相思、饱受离别之苦的深切同情。
高适,燕歌行·并序,这首诗的核心主旨是什么？,这首诗以唐代边塞征战为背景，全面展现了出征、战斗、戍边、思乡等边塞生活的全貌；既歌颂了边关将士们视死如归、以身殉国的爱国气节，也深刻揭露了主将骄逸轻敌、不恤士卒、荒淫失职的现实，对浴血奋战的士卒的悲惨命运寄予了深切同情，同时寄寓了对贤明边关将领的期盼。
高适,燕歌行·并序,“杀气三时作阵云，寒声一夜传刁斗” 两句是从哪些角度描写军营生活的？有什么作用？,从视觉和听觉两个角度描写：视觉上写白天整日战云密布、杀气腾腾，听觉上写夜晚整夜传来巡夜刁斗的寒冽声响。两句全方位展现了边塞军营中终日紧张肃杀、危机四伏的戍边生活，既渲染了战场的紧张氛围，也凸显了戍边将士日夜无休、常年身处险境的艰辛。
高适,燕歌行·并序,“身当恩遇常轻敌，力尽关山未解围” 两句揭示了怎样的因果关系？,这两句揭示了唐军战事失利的根本原因：主将身受天子的恩遇与厚待，却因此骄纵自大、盲目轻敌，最终导致前线将士力战竭尽，边关的围困依然未能解除，直接点明了主将的失职是战事失利的核心根源，极具批判意味。
高适,燕歌行·并序,“少妇城南欲断肠，征人蓟北空回首” 两句在全诗中有什么作用？,这两句以工整对句，将思妇的肝肠寸断与征人的空自回望两两对照，把边塞征战的宏大叙事与个体家庭的悲欢离合结合起来；既丰富了诗歌的内容，深化了对战争带给百姓苦难的书写，也让诗歌的情感更细腻、更具感染力，为后文的主旨升华做了铺垫。
高适,燕歌行·并序,诗中开篇 “男儿本自重横行，天子非常赐颜色” 两句在全诗中有什么作用？,这两句写男儿本就以驰骋沙场为荣，又得到了天子的特别恩宠，既交代了将军出征的背景，也为后文将军 “常轻敌” 的行为埋下了伏笔，暗示了将军因得宠而骄、最终导致战事失利的因果关系，是全诗叙事与批判的重要铺垫。
高适,燕歌行·并序,这首诗中多处运用了对比手法，请列举两处并分析其作用。,第一处：“战士军前半死生，美人帐下犹歌舞”，以战士浴血奋战与将领荒淫享乐形成对比，深刻揭露了军中苦乐不均、将领失职的黑暗现实，批判力度极强；第二处：结尾怀念的爱护士卒的李将军，与诗中骄逸轻敌、不恤士卒的当朝将领形成对比，凸显了诗人对当朝昏庸将领的批判，以及对贤明边关将领的期盼；第三处：出征时 “摐金伐鼓下榆关，旌旆逶迤碣石间” 的浩浩荡荡，与战败时 “孤城落日斗兵稀” 的狼狈惨烈形成对比，反衬出将领轻敌导致的严重后果。
王昌龄,出塞,《出塞》中，运用互文见义的修辞手法，勾勒出冷月照边关的苍凉景象，将边塞战事的历史纵深感拉满的千古名句是：__________,秦时明月汉时关，万里长征人未还
王昌龄,出塞,诗中跨越秦汉时空，点明自古以来边塞战事不断、征人久戍不归的悲惨现实的句子是：__________,秦时明月汉时关，万里长征人未还
王昌龄,出塞,诗中开篇以景入手，勾勒出边塞苍凉雄浑意境，为全诗奠定悲壮基调的句子是：__________,秦时明月汉时关
王昌龄,出塞,诗中直接抒发对远赴万里征战、长期戍边未能归家的征人的深切同情的句子是：__________,万里长征人未还
王昌龄,出塞,诗中运用典故，以昔讽今，表达诗人期盼出现贤能边关将领、早日平息边塞战事的句子是：__________,但使龙城飞将在，不教胡马度阴山
王昌龄,出塞,诗中借汉代名将的典故，批判当朝边关将领庸碌无能、无法抵御外敌的句子是：__________,但使龙城飞将在，不教胡马度阴山
王昌龄,出塞,诗中表明诗人对边关安定的核心期盼，立下不让敌军南下入侵中原的坚定誓言的句子是：__________,不教胡马度阴山
王昌龄,出塞,诗中被明代诗人李攀龙称赞为 “唐人七绝的压卷之作” 的核心名句是：__________,秦时明月汉时关，万里长征人未还。但使龙城飞将在，不教胡马度阴山
王昌龄,出塞,《出塞》的作者和所属朝代是什么？作者在诗坛有哪些公认的称号？,作者是唐代诗人王昌龄，他是盛唐著名边塞诗人，被后人誉为 “七绝圣手”，也有 “诗家夫子王江宁”（亦作 “诗家天子王江宁”）的美誉。
王昌龄,出塞,从题材来看，《出塞》属于什么类型的诗歌？它采用了什么诗歌体例？,这是一首著名的边塞诗，是王昌龄运用乐府旧题创作的七言绝句，明代诗人李攀龙曾称赞它是唐人七绝的压卷之作。
王昌龄,出塞,这首诗的创作背景是什么？,《出塞》是王昌龄早年赴西域时所作，采用乐府旧题创作。秦汉以来边关多事、烽火不熄、士兵久戍不归，诗人关心边事，同情长期征战的士兵，认为边防的核心问题是将领无能、无法抵御来犯的敌人，因此借乐府旧题作诗，以昔讽今。
王昌龄,出塞,“秦时明月汉时关” 一句运用了什么修辞手法？该如何正确理解这句诗的含义？,这句诗运用了互文见义的修辞手法，不能理解为秦时的明月、汉代的边关，正确含义是：秦汉时期的明月和秦汉时期的边关。这句诗将边塞战事的历史追溯到秦汉时期，凸显了边塞战争的旷日持久，勾勒出一幅冷月照边关的苍凉雄浑景象。
王昌龄,出塞,诗中的 “龙城飞将” 具体指的是谁？,“龙城飞将” 指汉朝名将李广，龙城即唐代的卢龙城，是汉代李广练兵之地，位于今河北省喜峰口附近一带。
王昌龄,出塞,诗中的 “阴山” 在诗句中有什么含义？,阴山是我国古代北方的天然屏障，是中原王朝抵御北方游牧民族入侵的重要边塞防线；在诗句中代指中原的边境防线，“不教胡马度阴山” 即不让敌军的铁蹄踏过阴山、入侵中原，是诗人对边关安定、家国安宁的核心期盼。
